trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",20,0,-88.45345333726912,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.8}",25,0,-101.29294168886203,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.6400000000000001}",30,0,-88.21663114749731,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.5120000000000001}",30,0,-118.30383321747523,"{0: 20, 1: 3, 2: 3, 3: 3, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.4096000000000001}",20,15,-1.3168414335432237,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.8, 'e': 0.3276800000000001}",20,14,10.428743941640006,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.8, 'e': 0.2621440000000001}",20,11,-18.71449796016545,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.20971520000000007}",20,0,-43.66295555881109,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.1677721600000001}",20,0,-13.264178665427647,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.13421772800000006}",30,20,-16.963713150602345,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.8, 'e': 0.10737418240000006}",20,0,-34.94523100825573,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0.08589934592000005}",25,11,-38.596268209138394,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.8, 'e': 0.06871947673600004}",20,9,19.34025331043363,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0.05497558138880004}",25,5,32.92989029431354,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.043980465111040035}",30,8,37.62369461993255,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.8, 'e': 0.03518437208883203}",20,8,17.166599620920206,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.028147497671065624}",20,15,9.097299870206472,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.022517998136852502}",25,12,23.542637265515513,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0.018014398509482003}",25,11,5.965534044103826,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.8, 'e': 0.014411518807585602}",20,10,13.248416377151756,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,25,18.286710468021184,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,23.304548149195703,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,9,36.05200230526629,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,13,-7.9124898086179964,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,24.439911909577333,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,16.480019573758046,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,1,28.081907429361618,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,8,24.177933191473905,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,17,13.910310117505336,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,10,25.551078356123234,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
